Actual_Words,Expected_Stem,Suraj_Algorithsm,Bimba_Algorithsm
bauta,bauta,bauta,bauta
bautar,bauta,bauta,bauta
baya,baya,baya,baya
Bayan,baya,baya,baya
bayanai,baya,baya,baya
bayanaka,bayanaka,bayanaka,bayanaka
bayanan,baya,baya,baya
bayananka,baya,baya,baya
bayanansu,baya,baya,baya
bayani,bayani,bayani,bayani
bayanin,bayani,bayani,bayani
bayansu,baya,baya,baya
bayar,baya,baya,baya
bayarwa,bayar,baya,bayar
bayi,bayi,bayi,bayi
bayin,bayi,bayi,bayi
bayyana,bayya,bayya,bayya
bayyanawa,bayyana,bayyana,bayyana
bazu,bazu,bazu,bazu
bazuwa,bazu,bazu,bazu
beraye,bera,bera,bera
berayen,bera,bera,bera
bi,bi,bi,bi
bidiyo,bidiyo,bidiyo,bidiyo
bidiyon,bidiyo,bidiyo,bidiyo
bil,bil,bil,bil
biliyan,biliya,biliya,biliya
biliyoyin,biliya,biliya,biliya
bincikawa,bincika,bincika,bincika
bincike,bincike,bincike,bincike
binciken,bincike,bincike,bincike
bindiga,bindiga,bindiga,bindiga
bindigar,bindiga,bindiga,bindiga
bindigogi,bindiga,bindiga,bindiga
birane,birane,birane,birane
biranen,birane,birane,birane
birni,birni,birni,birni
birnin,birni,birni,birni
biya,biya,biya,biya
biyan,biya,biya,biya
biyo,biyo,biyo,biyo
biyu,biyu,biyu,biyu
biyun,biyu,biyu,biyu
buga,buga,buga,buga
bugawa,buga,buga,buga
bugu,bugu,bugu,bugu
bukace,bukace,bukatu,bukace
bukaci,buka,buka,buka
bukata,bukata,bukata,bukata
bukatar,bukata,bukata,bukata
bukatarka,bukatarka,bukata,bukatarka
bukatarsa,bukatarsa,bukata,bukatarsa
bukatarsu,bukatarsu,bukata,bukatarsu
bukatu,bukatu,bukatu,bukatu
bukatun,bukatu,bukatu,bukatu
bukatunta,bukatu,bukatu,bukatu
bukin,buki,buki,buki
bukukuwa,buku,buku,buku
bullarta,bullara,bulla,bullara
bullo,bullo,bullo,bullo
bullowa,bulla,bulla,bulla
bunkasa,bunkashi,bunkashi,bunkashi
bunkasar,bunkashi,bunkashi,bunkashi
cajar,caja,caja,caja
caje,caje,caje,caje
caji,caji,caji,caji
cajin,caji,caji,caji
cewa,cewa,cewa,cewa
cewar,cewa,cewa,cewa
cewarsa,cewarsa,cewa,cewarsa
cewarsu,cewarsu,cewa,cewarsu
cibiyar,cibiya,cibiya,cibiya
cibiyoyin,cibiya,cibiya,cibiya
cika,cika,cika,cika
cikakken,cikak,cikak,cikak
cikakkun,cikak,cikak,cikak
cike,cike,cike,cike
ciki,ciki,ciki,ciki
cikikn,cik,cik,cik
cikin,ciki,ciki,ciki
cikinsa,ciki,ciki,ciki
cikinsu,ciki,ciki,ciki
cikinta,ciki,ciki,ciki
Cikkakun,cikka,cikka,cikka
ciniki,ciniki,ciniki,ciniki
cinikin,ciniki,ciniki,ciniki
cinikinsu,ciniki,ciniki,ciniki
ciwa,ciwa,ciwa,ciwa
ciwo,ciwo,ciwo,ciwo
ciwon,ciwo,ciwo,ciwo
cuta,cuta,cuta,cuta
cutar,cuta,cuta,cuta
cutukan,cute,cute,cute
cututtukan,cutute,cutute,cutute
daba,daba,daba,daba
dabaibaye,dabaiba,dabaiba,dabaiba
dabarar,dabara,dabara,dabara
dabaru,dabara,dabara,dabara
dabarun,dabara,dabara,dabara
dabawa,daba,daba,daba
dabbobi,dabba,dabba,dabba
dabbobinmu,dabbobi,dabba,dabbobi
dabo,dabo,dabo,dabo
dabon,dabo,dabo,dabo
dace,dace,dace,dace
dacewa,dace,dace,dace
dadada,dada,dada,dada
dadaddiyar,addiya,addiya,addiya
dadi,dadi,dadi,dadi
dadin,dadi,dadi,dadi
daga,daga,daga,daga
dage,dage,dage,dage
dagewar,dage,dage,dage
daidai,daidai,daidai,daidai
daidaita,daita,daita,daita
daidaito,daito,daito,daito
daji,daji,daji,daji
dajin,daji,daji,daji
dakaru,dakara,dakara,dakara
dakarun,dakara,dakara,dakara
dakatar,dakata,dakata,dakata
dakon,dako,dako,dako
Dakunan,daka,daka,daka
dalilai,dali,dali,dali
dalilin,dalili,dalili,dalili
daloli,daloli,daloli,daloli
dama,dama,dama,dama
Damagaram,damagaram,damagaram,damagaram
daman,dama,dama,dama
damar,dama,dama,dama
damarar,damara,damara,damara
dambarwar,dambar,dambar,dambar
damke,damke,damke,damke
damu,damu,damu,damu
damuwa,damu,damu,damu
danganawa,dangana,dangana,dangana
danganci,danga,danga,danga
dangane,dangane,dangane,dangane
danganta,danga,danga,danga
dangantaka,danga,danga,danga
dangantakar,danga,danga,danga
dangin,dangi,dangi,dangi
dare,dare,dare,dare
Darektan,darekk,darekk,darekk
daren,dare,dare,dare
dareWasu,darewasu,darewasu,darewasu
daruruwa,darura,darura,darura
daruruwan,darura,darura,darura
dauka,dauka,dauka,dauka
daukacin,dauka,dauka,dauka
daukaka,dauka,dauka,dauka
daukar,dauka,dauka,dauka
dauke,dauke,dauke,dauke
daukewar,dau,dau,dau
dauki,dauki,dauki,dauki
dauko,dauka,dauka,dauka
daura,daura,daura,daura
daurin,daura,daura,daura
dawo,dawo,dawo,dawo
dawowa,dawa,dawa,dawa
daya,daya,daya,daya
dayan,daya,daya,daya
dilancin,dila,dila,dila
dillancin,dilla,dilla,dilla
dimbin,dimbi,dimbi,dimbi
dimokradiyyar,dimokradiyya,dimokradiyya,dimokradiyya
Dimokradiyyar,dimokradiyya,dimokradiyya,dimokradiyya
dimokradiyyarsu,dimokradiyyarsu,dimokradiyya,dimokradiyyarsu
dimokuradiyyar,dimokuradiyya,dimokuradiyya,dimokuradiyya
diyya,diyya,diyya,diyya
diyyar,diyya,diyya,diyya
dogon,dogo,dogo,dogo
doguwar,do,do,do
doka,doka,doka,doka
dokar,doka,doka,doka
dokoki,doka,doka,doka
dokokin,doka,doka,doka
dokokinsa,doka,doka,doka
domin,domi,domi,domi
Domin,domi,domi,domi
don,don,don,don
duba,duba,duba,duba
Duba,duba,duba,duba
dubatan,duba,duba,duba
dubatar,duba,duba,duba
dubbai,dubbi,dubbi,dubbi
dubban,dubba,dubba,dubba
Dubban,dubba,dubba,dubba
Dubi,dubi,dubi,dubi
dubu,dubu,dubu,dubu
dubun,dubu,dubu,dubu
duka,duka,duka,duka
Duka,duka,duka,duka
Dukkan,dukka,dukka,dukka
dukkan,dukka,dukka,dukka
dukkanin,dukka,dukka,dukka
dukkaninsu,dukka,dukka,dukka
dumbin,dumbi,dumbi,dumbi
dumi,dumi,dumi,dumi
duminsu,dumi,dumi,dumi
Fabrairu,fabrairu,fabrairu,fabrairu
Fabrairun,fabrairu,fabrairu,fabrairu
fada,fada,fada,fada
fadada,fada,fada,fada
fadan,fada,fada,fada
fadar,fada,fada,fada
fadi,fadi,fadi,fadi
fadin,fadi,fadi,fadi
fadinta,fadi,fadi,fadi
faduwa,fadu,fadu,fadu
faduwar,fadu,fadu,fadu
fafata,fa,fa,fa
fafatawa,fatawa,fatawa,fatawa
fafitikar,fafitika,fafitika,fafitika
fafutika,fafutika,fafutika,fafutika
fafutuka,fafute,fafute,fafute
fafutukar,fafute,fafute,fafute
fage,fage,fage,fage
fagen,fage,fage,fage
fahimci,fahimta,fahi,fahimta
fahimta,fahimta,fahimta,fahimta
fannin,fan,fan,fan
fannoni,fanno,fanno,fanno
fara,fara,fara,fara
Faransa,fara,fara,fara
Faransar,fara,fara,fara
Faransawa,faransa,faransa,faransa
farar,fara,fara,fara
fararen,farare,farare,farare
farawa,fara,fara,fara
fari,fari,fari,fari
farin,fari,fari,fari
farko,fara,fara,fara
farkon,fara,fara,fara
faru,faru,faru,faru
faruwa,fara,fara,fara
faruwar,fara,fara,fara
fasaha,fasaha,fasaha,fasaha
fasahar,fasaha,fasaha,fasaha
fasahohi,fasahohi,fasahohi,fasahohi
fasahohin,fasahohi,fasahohi,fasahohi
fasahohinsa,fasahohi,fasahohi,fasahohi
fashe,fashe,fashe,fashe
fashewa,fashe,fashe,fashe
fashi,fas,fas,fas
fashin,fas,fas,fas
fata,fata,fata,fata
Fatah,fatah,fatah,fatah
fatan,fata,fata,fata
fice,fice,fice,fice
ficewa,fice,fice,fice
fili,fili,fili,fili
filin,fili,fili,fili
Fira,fira,fira,fira
Firai,firi,firi,firi
fita,fita,fita,fita
fitaccen,fita,fita,fita
fitar,fita,fita,fita
fitattun,fitattu,fitattu,fitattu
fito,fito,fito,fito
fitowa,fita,fita,fita
fitowar,fita,fita,fita
fuska,fuska,fuska,fuska
fuskanci,fuska,fuska,fuska
fuskanta,fuska,fuska,fuska
fuskantar,fuska,fuska,fuska
fuskar,fuska,fuska,fuska
gaba,gaba,gaba,gaba
gabace,gabace,gabatu,gabace
gaban,gaba,gaba,gaba
gabannin,gaba,gaba,gaba
gabanta,gaba,gaba,gaba
gabar,gaba,gaba,gaba
gabashin,gabas,gabas,gabas
gabata,gaba,gaba,gaba
gabatar,gaba,gaba,gaba
Gabatarwa,gabatar,gaba,gabatar
gadin,gadi,gadi,gadi
gado,gado,gado,gado
gagarumar,garuma,garuma,garuma
gagarumin,garumi,garumi,garumi
gaggawa,ga,ga,ga
gaggawar,ga,ga,ga
gaji,gaji,gaji,gaji
gajiyar,gajiya,gajiya,gajiya
galaba,galaba,galaba,galaba
galibi,galibi,galibi,galibi
Galibi,galibi,galibi,galibi
galibinsu,galibi,galibi,galibi
game,game,game,game
gami,gami,gami,gami
gamsarwa,gamsar,gamsa,gamsar
gamsuwa,gamse,gamse,gamse
gana,gana,gana,gana
ganawa,gana,gana,gana
gane,gane,gane,gane
ganga,ganga,ganga,ganga
gangami,gangami,gangami,gangami
gangamin,gangami,gangami,gangami
ganguna,ganga,ganga,ganga
gani,gani,gani,gani
ganin,gani,gani,gani
gano,gano,gano,gano
ganowa,gana,gana,gana
gargadi,gargadi,gargadi,gargadi
gargadin,gargadi,gargadi,gargadi
gari,gari,gari,gari
garin,gari,gari,gari
garuruwa,garura,garura,garura
garuruwan,garura,garura,garura
gasa,gasa,gasa,gasa
gasar,gasa,gasa,gasa
gaske,gaske,gaske,gaske
gaskiya,gaskiya,gaskiya,gaskiya
gawarwaki,gawarwa,gawarwa,gawarwa
gawawwakin,gawawwa,gawawwa,gawawwa
gaya,gaya,gaya,gaya
gaywa,gaywa,gaywa,gaywa
gayyaci,gayya,gayya,gayya
gaza,gaza,gaza,gaza
gazawa,gaza,gaza,gaza
gida,gida,gida,gida
gidaje,gidaje,gidaje,gidaje
gidajen,gidaje,gidaje,gidaje
gidajensu,gidaje,gidaje,gidaje
gidan,gida,gida,gida
gidanka,gida,gida,gida
gidansa,gida,gida,gida
gidansu,gida,gida,gida
girma,girma,girma,girma
girman,girma,girma,girma
goyan,goya,goya,goya
goyon,goyo,goyo,goyo
guda,guda,guda,guda
gudanar,gudanar,gudanar,gudanar
gudanarwar,gudanar,gudanar,gudanar
gudu,gudu,gudu,gudu
gudummawa,gudummawa,gudummawa,gudummawa
gudun,gudu,gudu,gudu
gudunmawa,gudunma,gudunma,gudunma
gurbi,gurbi,gurbi,gurbi
gurbin,gurbi,gurbi,gurbi
gwagwarmaya,gwarmaya,gwarmaya,gwarmaya
gwagwarmayar,gwarmaya,gwarmaya,gwarmaya
gwaji,gwaji,gwaji,gwaji
gwajin,gwaji,gwaji,gwaji
Gwamna,gwamna,g,gwamna
gwamnan,gwamna,gwamna,gwamna
gwamnati,gwamnati,gwamnati,gwamnati
gwamnatin,gwamnati,gwamnati,gwamnati
gwamnatinsa,gwamnati,gwamnati,gwamnati
gwamnatocin,gwamnato,gwamnato,gwamnato
gwamnoni,gwamno,gwamno,gwamno
gwargwadon,gwargwado,gwargwado,gwargwado
gwarzon,gwarzo,gwarzo,gwarzo
gwiwa,gwiwa,gwiwa,gwiwa
gwiwar,gwi,gwi,gwi
gwiwarsa,gwiwarsa,gwi,gwiwarsa
Gwoza,gwoza,gwoza,gwoza
Gwozan,gwoza,gwoza,gwoza
hada,hada,hada,hada
hadar,hada,hada,hada
hadarin,hada,hada,hada
haddasa,haddashi,haddashi,haddashi
haddin,haddi,haddi,haddi
hade,hade,hade,hade
hadin,hadi,hadi,hadi
hadu,hadu,hadu,hadu
hafsan,hafsa,hafsa,hafsa
hafsoshi,hafsa,hafso,hafsa
haifa,haifa,haifa,haifa
haifar,haifa,haifa,haifa
haife,haife,haife,haife
haifeshi,haifes,haife,haifes
haifi,haifi,haifi,haifi
haihu,haihu,haihu,haihu
haihuwa,haihu,haihu,haihu
haihuwar,haihu,haihu,haihu
hajar,haja,haja,haja
hajarsu,hajarsu,haja,hajarsu
Hajiya,hajiya,hajiya,hajiya
Hajji,hajji,hajji,hajji
hajojin,haja,haja,haja
haka,haka,haka,haka
hakan,haka,haka,haka
hakar,haka,haka,haka
hakimiyar,hakimiya,hakimiya,hakimiya
hakkin,hak,hak,hak
hakkokin,hakka,hakka,hakka
hakkokinsu,hakka,hakka,hakka
hako,hako,hako,hako
halarci,halar,hala,halar
halartar,halarr,halarr,halarr
halayen,hala,hala,hala
halayya,halayya,hala,halayya
halayyar,halayya,halayya,halayya
hali,hali,hali,hali
halin,hali,hali,hali
Ham,ham,ham,ham
Hama,hama,hama,hama
hamada,hamada,hamada,hamada
hamadar,hamada,hamada,hamada
hamayya,hamayya,hama,hamayya
hamayyarsa,hamayyarsa,hamayya,hamayyarsa
hana,hana,hana,hana
hanayar,hanaya,hanaya,hanaya
hankali,hankali,hankali,hankali
hankalin,hankali,hankali,hankali
hankula,hankula,hankula,hankula
hankulan,hankula,hankula,hankula
hannayen,hanno,hanno,hanno
hannu,hannu,hannu,hannu
hannun,hannu,hannu,hannu
hannunsa,hannu,hannu,hannu
Hantsi,hantsi,hantsi,hantsi
hanu,hanu,hanu,hanu
hanya,hanya,hanya,hanya
hanyar,hanya,hanya,hanya
hanyarsu,hanyarsu,hanya,hanyarsu
hanyoyi,hanya,hanya,hanya
hanyoyin,hanya,hanya,hanya
haraba,haraba,haraba,haraba
harabar,haraba,haraba,haraba
haraji,haraji,haraji,haraji
harajin,haraji,haraji,haraji
haram,haram,haram,haram
Harama,harama,harama,harama
haramta,harama,hara,harama
haramtaccen,haramc,haramc,haramc
harba,harba,harba,harba
harbe,harbe,harbe,harbe
harda,harda,harda,harda
hare,hare,hare,hare
haren,hare,hare,hare
hari,hari,hari,hari
harin,hari,hari,hari
harka,harka,harka,harka
harkar,harka,harka,harka
harkoki,harka,harka,harka
harkokin,harka,harka,harka
harshen,harshe,harshe,harshe
harsunan,harsa,harsa,harsa
hasara,hasara,hasara,hasara
hasarar,hasara,hasara,hasara
hasashe,hasashe,hashi,hasashe
hasashen,hasashe,hasashe,hasashe
hau,hau,hau,hau
hauhawar,hauha,hauha,hauha
haura,haura,haura,haura
hawa,hawa,hawa,hawa
hawainiya,hawainiya,hawainiya,hawainiya
hijira,hijira,hijira,hijira
hijirar,hijira,hijira,hijira
hijra,hijra,hijra,hijra
hira,hira,hira,hira
hirar,hira,hira,hira
hirarrakin,hirarra,hirarra,hirarra
hore,hore,hore,hore
horo,horo,horo,horo
horon,horo,horo,horo
hoto,hoto,hoto,hoto
hoton,hoto,hoto,hoto
hotuna,hota,hota,hota
hotunan,hota,hota,hota
Hotunanka,hota,hota,hota
Hukumar,hukuma,hukuma,hukuma
hukumar,hukuma,hukuma,hukuma
hukumomi,hukumi,hukumi,hukumi
Hukumomi,hukumi,hukumi,hukumi
hukumomin,hukumi,hukumi,hukumi
hukunci,hukunci,hukunci,hukunci
hukuncin,hukunci,hukunci,hukunci
hula,hula,hula,hula
hular,hula,hula,hula
huta,huta,huta,huta
hutun,hutu,hutu,hutu
idan,idan,idan,idan
idanun,idani,idani,idani
ido,ido,ido,ido
idon,idon,idon,idon
ikirarin,ikira,ikira,ikira
ikirarinta,ikira,ikira,ikira
iko,iko,iko,iko
ikon,ikon,ikon,ikon
ilimi,ilimi,ilimi,ilimi
Ilimin,ilimi,ilimi,ilimi
ilimin,ilimi,ilimi,ilimi
iri,iri,iri,iri
irin,irin,irin,irin
irinsa,iri,iri,iri
irinsu,iri,iri,iri
irinta,iri,iri,iri
Italiya,italiya,italiya,italiya
Italiyan,italiya,italiya,italiya
Italiyar,italiya,italiya,italiya
iya,iya,iya,iya
iyaka,iyaka,iyaka,iyaka
iyakar,iyaka,iyaka,iyaka
iyakarta,iyakara,iyaka,iyakara
iyalai,iyali,iyali,iyali
iyalan,iyala,iyala,iyala
iyalansu,iyala,iyala,iyala
iyaye,iyaye,iyaye,iyaye
iyayen,iyaye,iyaye,iyaye
iyayensa,iyaye,iyaye,iyaye
izini,izi,izi,izi
izinin,izi,izi,izi
izni,izni,izni,izni
iznin,iz,iz,iz
jagora,jagora,jagora,jagora
Jagoran,jagora,jagora,jagora
jagoran,jagora,jagora,jagora
jagoranci,jagora,jagora,jagora
jagorancin,jagora,jagora,jagora
jagorantar,jagora,jagora,jagora
jakadanci,jakada,jakada,jakada
jakadancin,jakada,jakada,jakada
jaki,jaki,jaki,jaki
jamhuriyar,jamhuriya,jamhuriya,jamhuriya
Jamhuriyyar,jamhuriyya,jamhuriyya,jamhuriyya
jari,jari,jari,jari
jarida,jarida,jarida,jarida
jaridar,jarida,jarida,jarida
jaridun,jaridu,jaridu,jaridu
jarin,jara,jara,jara
jarirai,jari,jari,jari
jariran,jarira,jarira,jarira
jariransuSamun,jariransusamu,jariransusamu,jariransusamu
jariranta,jarira,jarira,jarira
Jaririya,jaririya,jaririya,jaririya
jaririyar,jaririya,jaririya,jaririya
jawabi,jawabi,jawabi,jawabi
jawabin,jawabi,jawabi,jawabi
jihar,jiha,jiha,jiha
Jihar,jiha,jiha,jiha
jiharsa,jiharsa,jiha,jiharsa
jihohi,jihohi,jihohi,jihohi
jihohin,jihohi,jihohi,jihohi
jikakkiya,jikakkiya,jikakkiya,jikakkiya
jiki,jiki,jiki,jiki
jikin,jiki,jiki,jiki
jikina,jiki,jiki,jiki
jikkata,jikkata,jikkata,jikkata
jin,jin,jin,jin
jini,jini,jini,jini
jinin,jini,jini,jini
jinjina,jinjina,jinjina,jinjina
jinjinawa,ji,ji,ji
jinya,jinya,jinya,jinya
jinyar,jinya,jinya,jinya
jiragen,jirage,jirage,jirage
jiran,jira,jira,jira
jirgi,jirgi,jirgi,jirgi
jirgin,jirgi,jirgi,jirgi
Juwon,juwo,juwo,juwo
juya,juya,juya,juya
juyi,juyi,juyi,juyi
juyin,juyi,juyi,juyi
juyinjuya,juyinjuya,juyinjuya,juyinjuya
kada,kada,kada,kada
kadan,kadan,kadan,kadan
kadarorin,kadaror,kadaror,kadaror
Kaduna,kada,kada,kada
Kadunan,kada,kada,kada
kafa,kafa,kafa,kafa
kafar,kafa,kafa,kafa
kafawa,kafa,kafa,kafa
Kafin,kafi,kafi,kafi
kafin,kafi,kafi,kafi
kafofin,kafa,kafa,kafa
kafuwa,kafu,kafu,kafu
kai,kai,kai,kai
kaidoji,kaida,kaida,kaida
Kaidojin,kaida,kaida,kaida
kaiga,kaiga,kaiga,kaiga
kaika,kaika,kaika,kaika
kaima,kaima,kaima,kaima
kaisu,kaisu,kaisu,kaisu
kaiwa,kaiwa,kaiwa,kaiwa
kalilan,kalila,kalila,kalila
kallo,kallo,kallo,kallo
kallon,kallo,kallo,kallo
kallonsa,kallo,kallo,kallo
kalubalanci,kalubala,kalubala,kalubala
kalubalantar,kalubala,kalubala,kalubala
kalubale,kalubale,kalubale,kalubale
Kalubale,kalubale,kalubale,kalubale
kalubalen,kalubale,kalubale,kalubale
kama,kama,kama,kama
kaman,kama,kama,kama
kamani,kama,kama,kama
kamar,kama,kama,kama
kamari,kamara,kamara,kamara
Kamaru,kamara,kamara,kamara
Kamarun,kamara,kamara,kamara
kamfani,kamfa,kamfa,kamfa
kamfanin,kamfa,kamfa,kamfa
Kamfanin,kamfa,kamfa,kamfa
kamfanoni,kamfano,kamfano,kamfano
kamfanonin,kamfano,kamfano,kamfano
kamo,kamo,kamo,kamo
kamu,kamu,kamu,kamu
kamuwa,kamu,kamu,kamu
kan,kan,kan,kan
kana,kana,kana,kana
kanana,kana,kana,kana
kananan,kana,kana,kana
kanenshi,kane,kanen,kane
kanka,ka,ka,ka
kankane,kane,kane,kane
kankanin,kani,kani,kani
kansa,kansa,kansa,kansa
kansu,ka,ka,ka
kanta,kana,kana,kana
Karamar,karama,karama,karama
karamar,karama,karama,karama
karamin,karami,karami,karami
karanci,kara,kara,kara
karancin,kara,kara,kara
karanta,karanta,karanta,karanta
karantawa,karanta,karanta,karanta
karanto,karanto,kara,karanto
karantun,karantu,karantu,karantu
karar,kara,kara,kara
Karatu,karatu,karatu,karatu
karatun,karatu,karatu,karatu
karatunsa,karatu,karatu,karatu
karatunsu,karatu,karatu,karatu
karawa,kara,kara,kara
karawar,kara,kara,kara
karba,karba,karba,karba
karbar,karba,karba,karba
karbe,karbe,karbe,karbe
karbi,karbi,karbi,karbi
kare,kare,kare,kare
karen,kare,kare,kare
karewa,kare,kare,kare
karewar,kare,kare,kare
karfafa,karfa,karfa,karfa
karfi,karfi,karfi,karfi
karfin,karfi,karfi,karfi
kari,kari,kari,kari
karin,kari,kari,kari
kariya,kariya,kariya,kariya
kariyar,kariya,kariya,kariya
karo,karo,karo,karo
karon,karo,karo,karo
karshe,karshe,karshe,karshe
karshen,karshe,karshe,karshe
karu,karu,karu,karu
karuwa,kara,kara,kara
karuwar,kara,kara,kara
kasa,kasa,kasa,kasa
kasafai,kasafi,kasafi,kasafi
kasafin,kasafi,kasafi,kasafi
kasance,kasance,kasance,kasance
kasancewa,kasance,kasance,kasance
kasancewarta,kasancewara,kasance,kasancewara
Kasar,kasa,kasa,kasa
kasar,kasa,kasa,kasa
kasarsa,kasarsa,kasa,kasarsa
kasarsu,kasarsu,kasa,kasarsu
kasashe,kasashe,kasa,kasashe
Kasashen,kasashe,kasashe,kasashe
kasashen,kasashe,kasashe,kasashe
kasashensu,kasashe,kasashe,kasashe
kashe,kashe,kashe,kashe
kashedin,kashedi,kashedi,kashedi
kashewa,kashe,kashe,kashe
kasuwa,kasuwa,kasuwa,kasuwa
Kasuwan,kasuwa,kasuwa,kasuwa
kasuwanci,kasuwa,kasuwa,kasuwa
kasuwancinsa,kasuwan,kasuwa,kasuwan
kasuwancinsu,kasuwan,kasuwa,kasuwan
kasuwancinta,kasuwan,kasuwa,kasuwan
kasuwannin,kasuwa,kasuwa,kasuwa
kasuwar,kasuwa,kasuwa,kasuwa
kasuwarta,kasuwara,kasuwa,kasuwara
kaurace,kaurace,kauratu,kaurace
kauracewa,kaurace,kaurace,kaurace
kauyawan,kauya,kauya,kauya
kauyen,kauye,kauye,kauye
Kauyen,kauye,kauye,kauye
kauyenmu,kauye,kauye,kauye
kauyuka,kauye,kauye,kauye
kauyukan,kauye,kauye,kauye
kawance,kawance,kawa,kawance
kawancen,kawance,kawantu,kawance
kawar,kawa,kawa,kawa
kawayen,ka,ka,ka
kawayenta,ka,ka,ka
kaya,kaya,kaya,kaya
kayan,kaya,kaya,kaya
kayansa,kaya,kaya,kaya
kayar,kaya,kaya,kaya
kayayyaki,kayayya,kayayya,kayayya
kayayyakin,kayayya,kayayya,kayayya
keta,keta,keta,keta
ketara,ketara,ketara,ketara
ketare,ketare,ketare,ketare
kilo,kilo,kilo,kilo
kilomita,kilomita,kilomita,kilomita
kilomitoci,kilomito,kilomito,kilomito
Kimanin,kima,kima,kima
kimanin,kima,kima,kima
kimiya,kimiya,kimiya,kimiya
Kimiyya,kimiyya,kimi,kimiyya
kimiyya,kimiyya,kimi,kimiyya
